YearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity,low_fruit_consumption,low_vegetable_consumption
2012,VA,Virginia,27.4,NA,NA,22.5,NA,NA
2012,WA,Washington,26.8,NA,NA,19,NA,NA
2012,WV,West Virginia,33.8,NA,NA,31,NA,NA
2012,WI,Wisconsin,29.7,NA,NA,20.4,NA,NA
2012,WY,Wyoming,24.6,NA,NA,21.1,NA,NA
2012,US,National,27.7,NA,NA,23.3,NA,NA
2013,AL,Alabama,32.4,45.4,24.9,31.5,NA,NA
2013,AK,Alaska,28.4,55.3,36,22.3,NA,NA
2013,AZ,Arizona,26.8,51.9,31,25.2,NA,NA
2013,AR,Arkansas,34.6,41.2,22.3,34.4,NA,NA
2013,CA,California,24.1,56.3,33.2,21.4,NA,NA
2013,CO,Colorado,21.3,60.4,35.9,17.9,NA,NA
2013,CT,Connecticut,25,50.9,30,24.9,NA,NA
2013,DE,Delaware,31.1,49.7,31.8,27.8,NA,NA
2013,DC,District of Columbia,22.9,57.7,35.1,19.5,NA,NA
2013,FL,Florida,26.4,50.2,29.6,27.7,NA,NA
2013,GA,Georgia,30.3,50.8,30.7,27.2,NA,NA
2013,HI,Hawaii,21.8,60.2,35,22.1,NA,NA
2013,ID,Idaho,29.6,53.9,30.1,23.7,NA,NA
2013,IL,Illinois,29.4,52.4,30.2,25.1,NA,NA
2013,IN,Indiana,31.8,44,25.6,31,NA,NA
2013,IA,Iowa,31.3,46.9,27.2,28.5,NA,NA
2013,KS,Kansas,30,49.1,26.8,26.5,NA,NA
2013,KY,Kentucky,33.2,46,25.8,30.2,NA,NA
2013,LA,Louisiana,33.1,45.1,25.9,32.2,NA,NA
2013,ME,Maine,28.9,53.6,29.6,23.3,NA,NA
2013,MD,Maryland,28.3,48.6,32,25.3,NA,NA
2013,MA,Massachusetts,23.6,54.5,32.6,23.5,NA,NA
2013,MI,Michigan,31.5,53.1,28.8,24.4,NA,NA
2013,MN,Minnesota,25.5,52.7,31.2,23.5,NA,NA
2013,MS,Mississippi,35.1,37.4,24.3,38.1,NA,NA
2013,MO,Missouri,30.4,48.6,26.4,28.3,NA,NA
2013,MT,Montana,24.6,57.8,31.8,22.5,NA,NA
2013,NE,Nebraska,29.6,50.1,28.4,25.3,NA,NA
2013,NV,Nevada,26.2,53.6,32.8,23.7,NA,NA
2013,NH,New Hampshire,26.7,55.4,32.6,22.4,NA,NA
2013,NJ,New Jersey,26.3,50.5,32,26.8,NA,NA
2013,NM,New Mexico,26.4,55,32,24.3,NA,NA
2013,NY,New York,25.4,47.3,30.1,26.7,NA,NA
2013,NC,North Carolina,29.4,48.6,27.9,26.6,NA,NA
2013,ND,North Dakota,31,45.3,27,27.6,NA,NA
2013,OH,Ohio,30.4,49.5,28.3,28.5,NA,NA
2013,OK,Oklahoma,32.5,43.9,24.3,33,NA,NA
2013,OR,Oregon,26.5,64.1,31.6,18.5,NA,NA
2013,PA,Pennsylvania,30,47.8,29.1,26.3,NA,NA
2013,RI,Rhode Island,27.3,49.1,29.5,26.9,NA,NA
2013,SC,South Carolina,31.7,49.1,27,26.9,NA,NA
2013,SD,South Dakota,29.9,53.7,27.7,23.8,NA,NA
2013,TN,Tennessee,33.7,37.7,19.6,37.2,NA,NA
2013,TX,Texas,30.9,42.1,28.4,30.1,NA,NA
2013,UT,Utah,24.1,55.3,32.3,20.6,NA,NA
2013,VT,Vermont,24.7,58.8,30.3,20.5,NA,NA
2013,VA,Virginia,27.2,51.9,32.4,25.5,NA,NA
2013,WA,Washington,27.2,56.3,31.5,20,NA,NA
2013,WV,West Virginia,35.1,47.6,18.6,31.4,NA,NA
2013,WI,Wisconsin,29.8,53.4,29.8,23.8,NA,NA
2013,WY,Wyoming,27.8,54.2,28.6,25.1,NA,NA
2013,US,National,28.3,50.2,29.6,26.3,NA,NA
2013,PR,Puerto Rico,27.9,NA,NA,NA,NA,NA
2014,AL,Alabama,33.5,NA,NA,27.6,NA,NA
2014,AK,Alaska,29.7,NA,NA,19.2,NA,NA
2014,AZ,Arizona,28.9,NA,NA,21.2,NA,NA
2014,AR,Arkansas,35.9,NA,NA,30.7,NA,NA
2014,CA,California,24.7,NA,NA,21.7,NA,NA
2014,CO,Colorado,21.3,NA,NA,16.4,NA,NA
2014,CT,Connecticut,26.3,NA,NA,20.6,NA,NA
2014,DE,Delaware,30.7,NA,NA,24.9,NA,NA
2014,DC,District of Columbia,21.7,NA,NA,20.8,NA,NA
2014,FL,Florida,26.2,NA,NA,23.7,NA,NA
2014,GA,Georgia,30.5,NA,NA,23.6,NA,NA
2014,HI,Hawaii,22.1,NA,NA,19.6,NA,NA
2014,ID,Idaho,28.9,NA,NA,18.7,NA,NA
2014,IL,Illinois,29.3,NA,NA,23.9,NA,NA
2014,IN,Indiana,32.7,NA,NA,26.1,NA,NA
2014,IA,Iowa,30.9,NA,NA,22.6,NA,NA
2014,KS,Kansas,31.3,NA,NA,23.8,NA,NA
2014,KY,Kentucky,31.6,NA,NA,28.2,NA,NA
2014,LA,Louisiana,34.9,NA,NA,29.5,NA,NA
2014,ME,Maine,28.2,NA,NA,19.7,NA,NA
2014,MD,Maryland,29.6,NA,NA,21.4,NA,NA
2014,MA,Massachusetts,23.3,NA,NA,20.1,NA,NA
2014,MI,Michigan,30.7,NA,NA,25.5,NA,NA
2014,MN,Minnesota,27.6,NA,NA,20.2,NA,NA
2014,MS,Mississippi,35.5,NA,NA,31.6,NA,NA
2014,MO,Missouri,30.2,NA,NA,25,NA,NA
2014,MT,Montana,26.4,NA,NA,19.6,NA,NA
2014,NE,Nebraska,30.2,NA,NA,21.3,NA,NA
2014,NV,Nevada,27.7,NA,NA,22.5,NA,NA
2014,NH,New Hampshire,27.4,NA,NA,19.3,NA,NA
2014,NJ,New Jersey,26.9,NA,NA,23.3,NA,NA
2014,NM,New Mexico,28.4,NA,NA,23.3,NA,NA
2014,NY,New York,27,NA,NA,25.9,NA,NA
2014,NC,North Carolina,29.7,NA,NA,23.2,NA,NA
2014,ND,North Dakota,32.2,NA,NA,21.3,NA,NA
2014,OH,Ohio,32.6,NA,NA,25,NA,NA
2014,OK,Oklahoma,33,NA,NA,28.3,NA,NA
2014,OR,Oregon,27.9,NA,NA,16.5,NA,NA
2014,PA,Pennsylvania,30.2,NA,NA,23.3,NA,NA
2014,RI,Rhode Island,27,NA,NA,22.5,NA,NA
2014,SC,South Carolina,32.1,NA,NA,25.3,NA,NA
2014,SD,South Dakota,29.8,NA,NA,21.2,NA,NA
2014,TN,Tennessee,31.2,NA,NA,26.8,NA,NA
2014,TX,Texas,31.9,NA,NA,27.6,NA,NA
2014,UT,Utah,25.7,NA,NA,16.8,NA,NA
2014,VT,Vermont,24.8,NA,NA,19,NA,NA
2014,VA,Virginia,28.5,NA,NA,23.5,NA,NA
2014,WA,Washington,27.3,NA,NA,18.1,NA,NA
2014,WV,West Virginia,35.7,NA,NA,28.7,NA,NA
2014,WI,Wisconsin,31.2,NA,NA,21.2,NA,NA
2014,WY,Wyoming,29.5,NA,NA,22.1,NA,NA
2014,US,National,28.9,NA,NA,23.7,NA,NA
2014,GU,Guam,28,NA,NA,27.7,NA,NA
2014,PR,Puerto Rico,28.3,NA,NA,40.6,NA,NA
2015,AL,Alabama,35.6,44.6,25.7,31.9,NA,NA
2015,AK,Alaska,29.8,58.3,34.1,22,NA,NA
2015,AZ,Arizona,28.4,53.8,30.7,24.7,NA,NA
2015,AR,Arkansas,34.5,45.1,24.4,34.2,NA,NA
2015,CA,California,24.2,57.3,33,20,NA,NA
2015,CO,Colorado,20.2,60.6,35.4,17.9,NA,NA
2015,CT,Connecticut,25.3,54.5,31.2,23.5,NA,NA
2015,DE,Delaware,29.7,48.5,30.5,29.4,NA,NA
2015,DC,District of Columbia,22.1,57.9,33.6,19.4,NA,NA
2015,FL,Florida,26.8,51.6,31.9,26.2,NA,NA
2015,GA,Georgia,30.7,48,29.6,27.3,NA,NA
2015,HI,Hawaii,22.7,56.6,33.3,22.5,NA,NA
2015,ID,Idaho,28.6,55.3,29.9,21.2,NA,NA
2015,IL,Illinois,30.8,49.8,31.5,24.8,NA,NA
2015,IN,Indiana,31.3,44.1,27,29.4,NA,NA
2015,IA,Iowa,32.1,48.8,29.8,26.3,NA,NA
2015,KS,Kansas,34.2,50,29,26.5,NA,NA
2015,KY,Kentucky,34.6,45.2,28.4,32.5,NA,NA
2015,LA,Louisiana,36.2,46.2,27.2,31.9,NA,NA
2015,ME,Maine,30,53.9,27.9,24.8,NA,NA
2015,MD,Maryland,28.9,52.9,32.7,24.1,NA,NA
2015,MA,Massachusetts,24.3,51.8,31.5,26.5,NA,NA
2015,MI,Michigan,31.2,52.1,29.3,25.5,NA,NA
2015,MN,Minnesota,26.1,54.9,31.9,21.8,NA,NA
2015,MS,Mississippi,35.6,38,26.5,36.8,NA,NA
2015,MO,Missouri,32.4,50.5,28.8,27,NA,NA
2015,MT,Montana,23.6,58.2,32.9,22.5,NA,NA
2015,NE,Nebraska,31.4,51.3,31.2,25.3,NA,NA
2015,NV,Nevada,26.7,54.5,34.3,24.7,NA,NA
2015,NH,New Hampshire,26.3,57.6,31.6,22.6,NA,NA
2015,NJ,New Jersey,25.6,48.9,31.5,27.2,NA,NA
2015,NM,New Mexico,28.8,56,33.7,22.6,NA,NA
2015,NY,New York,25,47.1,30.2,29.3,NA,NA
2015,NC,North Carolina,30.1,48.1,29.3,26.2,NA,NA
2015,ND,North Dakota,31,47,27.6,26.8,NA,NA
2015,OH,Ohio,29.8,50.2,29.5,27,NA,NA
2015,OK,Oklahoma,33.9,46.6,26.2,33.2,NA,NA
2015,OR,Oregon,30.1,60.4,30.4,18.8,NA,NA
2015,PA,Pennsylvania,30,49.8,29.6,27.8,NA,NA
2015,RI,Rhode Island,26,50.4,28.7,28.1,NA,NA
2015,SC,South Carolina,31.7,50.5,29.4,26.7,NA,NA
2015,SD,South Dakota,30.4,53.6,28.8,21.5,NA,NA
2015,TN,Tennessee,33.8,45.4,27.6,30.4,NA,NA
2015,TX,Texas,32.4,44.3,29.3,29.5,NA,NA
2015,UT,Utah,24.5,55.3,34.8,20.3,NA,NA
2015,VT,Vermont,25.1,58.9,30.5,22.2,NA,NA
2015,VA,Virginia,29.2,51,32.3,25.1,NA,NA
2015,WA,Washington,26.4,58.4,31.8,19,NA,NA
2015,WV,West Virginia,35.6,48,20.9,30.8,NA,NA
2015,WI,Wisconsin,30.7,56.8,28.6,21.6,NA,NA
2015,WY,Wyoming,29,54.4,32.1,26.2,NA,NA
2015,US,National,28.9,50.9,30.4,25.9,NA,NA
2015,GU,Guam,31.6,48.9,32,31.1,NA,NA
2015,PR,Puerto Rico,29.5,34.1,10.9,48.1,NA,NA
2016,AL,Alabama,35.7,NA,NA,29.4,NA,NA
2016,AK,Alaska,31.4,NA,NA,19.1,NA,NA
2016,AZ,Arizona,29,NA,NA,23.1,NA,NA
2016,AR,Arkansas,35.7,NA,NA,32.5,NA,NA
2016,CA,California,25,NA,NA,20.5,NA,NA
2016,CO,Colorado,22.3,NA,NA,15.8,NA,NA
2016,CT,Connecticut,26,NA,NA,21.3,NA,NA
2016,DE,Delaware,30.7,NA,NA,26.6,NA,NA
2016,DC,District of Columbia,22.6,NA,NA,16.2,NA,NA
