LocationDesc,YearStart,obesity,overweight,activity_150,activity_150_strength,activity_300,muscle_strengthening,no_leisure_activity,fruit_lt_1_per_day,vegetables_lt_1_per_day
Minnesota,2017,28.4,36.5,51.1,20.8,31.2,31.4,24.6,32.3,18
Mississippi,2017,37.3,32.6,44.7,16.6,26.8,25.9,33.2,46.3,21.4
Missouri,2017,32.5,35.4,47.4,18.9,28.7,28.5,29.2,39.9,16.9
Montana,2017,25.3,37,54.6,21.1,36.8,30.2,25,36.4,15.1
Nebraska,2017,32.8,36.2,49.4,19.1,28.9,29.8,25.4,36.9,20
Nevada,2017,26.7,39,47,19.5,29.3,31.3,28,37.6,22.1
New Hampshire,2017,28.1,36.8,54.4,21.4,34.5,30.4,23.9,30.3,13.7
New Jersey,2017,27.3,35.3,48.9,21.9,29,32.8,29,33.7,19.1
New Mexico,2017,28.4,36.8,54,23.2,34.5,32.8,24.5,37.4,20.5
New York,2017,25.7,35.6,49.3,19.8,29.1,29.9,27.2,33.5,20.3
North Carolina,2017,32.1,34.8,49.2,18.8,29.1,29.4,25.6,37.4,15.6
North Dakota,2017,33.2,36.2,45.7,17.1,26.2,30.2,27.6,36.8,19.8
Ohio,2017,33.8,34.2,47.8,18.3,30.2,29.2,29.6,37.7,18.7
Oklahoma,2017,36.5,34.1,42.5,15.9,24.8,25.5,32.4,45.8,17.1
Oregon,2017,29.4,35.1,56.9,22.3,37.2,31.1,21.4,33,16.4
Pennsylvania,2017,31.6,35.5,53,20.9,33.5,30.4,24.9,34.1,16.4
Rhode Island,2017,30,34.9,50.6,18.9,30.8,28.8,26.3,33.7,17.9
South Carolina,2017,34.1,34,48.6,18.8,30.9,27.4,28.4,40.6,18
South Dakota,2017,31.9,35.9,50.8,18.6,30.2,28.3,24.9,36.9,16.9
Tennessee,2017,32.8,35.4,47,16.9,29.7,26.6,30.6,38.9,15.8
Texas,2017,33,36.4,41.9,17,24.7,29.2,32.1,39.4,21.9
Utah,2017,25.3,35.3,54,23,33.1,33.3,21.1,32.1,17.3
Vermont,2017,27.6,35.1,59.7,22.6,40.1,31.4,21.6,29.7,12.9
Virginia,2017,30.1,36.3,50.9,21.8,30.9,32.5,25.9,36.6,15.8
Washington,2017,27.7,34.5,57.9,23.5,37.2,32.6,19.2,32.1,16.8
West Virginia,2017,38.1,33.6,48.1,15.1,31.5,22.6,31.6,44.9,18.3
Wisconsin,2017,32,35.3,57.1,21.2,36,30.6,22.4,32.4,19
Wyoming,2017,28.8,35.9,53.9,23,34.8,32.9,25.7,37.7,15.3
National,2017,30.1,35.3,50.3,20.3,30.9,30.5,26.6,36,19
Guam,2017,34.3,32.7,44.6,21.8,28.9,32.5,33.4,44.1,26.7
Puerto Rico,2017,32.9,35.4,19.6,5.4,9.8,9.8,54,56,46
Alabama,2018,36.2,33.4,NA,NA,NA,NA,30.7,NA,NA
Alaska,2018,29.5,34.7,NA,NA,NA,NA,19.6,NA,NA
Arizona,2018,29.5,35.2,NA,NA,NA,NA,22.1,NA,NA
Arkansas,2018,37.1,33.3,NA,NA,NA,NA,31,NA,NA
California,2018,25.8,36.4,NA,NA,NA,NA,21,NA,NA
Colorado,2018,23,35.9,NA,NA,NA,NA,16.4,NA,NA
Connecticut,2018,27.4,37,NA,NA,NA,NA,22.4,NA,NA
Delaware,2018,33.5,34.3,NA,NA,NA,NA,26.8,NA,NA
District of Columbia,2018,24.7,31.1,NA,NA,NA,NA,19.6,NA,NA
Florida,2018,30.7,35.3,NA,NA,NA,NA,26.8,NA,NA
Georgia,2018,32.5,34.8,NA,NA,NA,NA,26.2,NA,NA
Hawaii,2018,24.9,34.6,NA,NA,NA,NA,19.9,NA,NA
Idaho,2018,28.4,35.7,NA,NA,NA,NA,20.5,NA,NA
Illinois,2018,31.8,34.9,NA,NA,NA,NA,24.6,NA,NA
Indiana,2018,34.1,32.3,NA,NA,NA,NA,27.4,NA,NA
Iowa,2018,35.3,34.1,NA,NA,NA,NA,22.9,NA,NA
Kansas,2018,34.4,34.3,NA,NA,NA,NA,22.5,NA,NA
Kentucky,2018,36.6,31.9,NA,NA,NA,NA,32.4,NA,NA
Louisiana,2018,36.8,32.7,NA,NA,NA,NA,30.8,NA,NA
Maine,2018,30.4,35.3,NA,NA,NA,NA,22.5,NA,NA
Maryland,2018,30.9,35.6,NA,NA,NA,NA,22.9,NA,NA
Massachusetts,2018,25.7,36,NA,NA,NA,NA,22.4,NA,NA
Michigan,2018,33,34.5,NA,NA,NA,NA,23.8,NA,NA
Minnesota,2018,30.1,35.7,NA,NA,NA,NA,20.5,NA,NA
Mississippi,2018,39.5,33.8,NA,NA,NA,NA,32,NA,NA
Missouri,2018,35,31.9,NA,NA,NA,NA,26.1,NA,NA
Montana,2018,26.9,36.4,NA,NA,NA,NA,22.7,NA,NA
Nebraska,2018,34.1,34.8,NA,NA,NA,NA,23.8,NA,NA
Nevada,2018,29.5,38.2,NA,NA,NA,NA,25,NA,NA
New Hampshire,2018,29.6,35.4,NA,NA,NA,NA,21.5,NA,NA
New Jersey,2018,25.7,36.7,NA,NA,NA,NA,28.5,NA,NA
New Mexico,2018,32.3,34.9,NA,NA,NA,NA,22.2,NA,NA
New York,2018,27.6,35.1,NA,NA,NA,NA,23.8,NA,NA
North Carolina,2018,33,35.1,NA,NA,NA,NA,23.9,NA,NA
North Dakota,2018,35.1,35.9,NA,NA,NA,NA,22.3,NA,NA
Ohio,2018,34,34.4,NA,NA,NA,NA,25.4,NA,NA
Oklahoma,2018,34.8,34.8,NA,NA,NA,NA,27.2,NA,NA
Oregon,2018,29.9,34.2,NA,NA,NA,NA,19.3,NA,NA
Pennsylvania,2018,30.9,35,NA,NA,NA,NA,24,NA,NA
Rhode Island,2018,27.7,36.9,NA,NA,NA,NA,25.3,NA,NA
South Carolina,2018,34.3,35.4,NA,NA,NA,NA,26.7,NA,NA
South Dakota,2018,30.1,37.8,NA,NA,NA,NA,24,NA,NA
Tennessee,2018,34.4,33.5,NA,NA,NA,NA,30.9,NA,NA
Texas,2018,34.8,34.8,NA,NA,NA,NA,25.6,NA,NA
Utah,2018,27.8,34.3,NA,NA,NA,NA,17.5,NA,NA
Vermont,2018,27.5,33.6,NA,NA,NA,NA,18.9,NA,NA
Virginia,2018,30.4,35.9,NA,NA,NA,NA,22,NA,NA
Washington,2018,28.7,34.7,NA,NA,NA,NA,17.6,NA,NA
West Virginia,2018,39.5,32.5,NA,NA,NA,NA,28.2,NA,NA
Wisconsin,2018,32,36.1,NA,NA,NA,NA,21.8,NA,NA
Wyoming,2018,29,35.3,NA,NA,NA,NA,21.7,NA,NA
National,2018,30.9,35,NA,NA,NA,NA,24.2,NA,NA
Guam,2018,29.8,32.4,NA,NA,NA,NA,30,NA,NA
Puerto Rico,2018,32.9,36.9,NA,NA,NA,NA,47.3,NA,NA
Alabama,2019,36.1,34.2,45.9,17.6,27.7,29.2,31.5,46.1,22.3
Alaska,2019,30.5,36.1,57.3,25.6,38.8,37.6,21.7,42.8,19
Arizona,2019,31.4,34.4,54.7,25.5,35,37.7,24.1,38.5,21.9
Arkansas,2019,37.4,33.2,46.8,19.3,31.8,32.2,31.2,46.5,21.6
California,2019,26.2,36.7,55,22.6,33.6,33.7,22.4,36.2,23.9
Colorado,2019,23.8,35.3,59.3,27.4,37.6,39.3,18.7,37,19.5
Connecticut,2019,29.1,36.6,54.4,26.1,33.3,39.4,23.5,34.1,19.9
Delaware,2019,34.4,34.5,51.6,23.8,33,37,26.6,37,20.3
District of Columbia,2019,23.8,32.1,56.1,27.2,33.4,40.6,19,35.6,16.5
Florida,2019,27,37.6,55.1,27,37.5,38.1,26.5,38.3,21.3
Georgia,2019,33.1,33.9,49.1,24.1,30.8,38.2,27.9,43.1,19
Hawaii,2019,25,33.2,56,24.8,36.3,37.9,24.4,40.3,22
Idaho,2019,29.5,34.8,57.4,21.7,40.8,31.2,23.8,36.8,16.6
Illinois,2019,31.6,34.1,50.5,23.4,31.2,37.1,25.6,38.3,23.4
Indiana,2019,35.3,33.8,46.9,21.1,29.1,35.3,30.9,41.6,21.3
Iowa,2019,33.9,34.4,49.1,20,29.4,32.9,26.5,40.5,22.7
Kansas,2019,35.2,34.7,49.1,20.8,29.7,33.4,27.1,41.4,20
Kentucky,2019,36.5,35.4,36.3,15.3,23.8,27,32.8,45.8,19.7
Louisiana,2019,35.9,35,45.9,19.7,27.5,34.2,31.9,47.2,25.6
Maine,2019,31.7,33.8,52.1,20.2,34.4,30.6,30.1,35.2,12.5
Maryland,2019,32.3,34.4,52.2,24,31.2,36.6,23.4,37.3,21.3
Massachusetts,2019,25.2,34.5,53.5,22.2,32.5,33.2,26.4,32.7,15.5
Michigan,2019,36,34.4,51.7,23.3,32.5,35.3,25.4,40.1,20.7
Minnesota,2019,30.1,35.4,58.5,25.5,36.8,36.5,19.9,35.2,20.6
Mississippi,2019,40.8,31.9,39.5,15.7,23.4,29,37.7,47.5,22.9
Missouri,2019,34.8,33.3,45.1,17.1,26.7,27.8,30.6,42.2,19
Montana,2019,28.3,36.4,63.1,28.3,45.8,39.7,19.7,40.9,16.9
Nebraska,2019,34.1,34.9,48.7,20.9,29.4,34.8,26.9,39.5,20.8
Nevada,2019,30.6,37.2,50.7,20,30.7,34.3,25.8,43.4,25.2
New Hampshire,2019,31.8,35.9,57.6,26.4,39.8,37.2,21.7,35.7,16
New Mexico,2019,31.7,34.4,54.1,25.7,35.6,38.4,25.4,43.1,23.7
New York,2019,27.1,36.1,50.9,24.1,32.4,37.9,27.2,34.7,21.7
North Carolina,2019,34,35.6,50.5,21.6,29.7,31.9,26.3,38.1,17.1
North Dakota,2019,34.8,35.5,47.7,20.1,28.3,32,28,40.6,22.1
Ohio,2019,34.8,34.5,48.9,20.9,31.2,34.7,28.3,42.7,20.2
Oklahoma,2019,36.8,34.6,38.3,15.6,21.2,28.7,34,48.4,21.5
Oregon,2019,29,34.9,57.3,24.9,36.5,34.8,23.9,35.8,16.4
Pennsylvania,2019,33.2,35.2,51.1,21.8,31.2,33.7,25.6,38,19.8
Rhode Island,2019,30,34.4,50.5,24.1,31.8,36.1,26.5,36.1,20.6
South Carolina,2019,35.4,33.9,47.9,23,30.8,38.2,28.8,43.2,18.7
South Dakota,2019,33,37.9,46.6,21.8,28.7,34.6,30,39.2,17.4
Tennessee,2019,36.5,33,47.5,21.8,30,35.5,30.1,43,19
Texas,2019,34,35.8,49.3,24.3,28.6,37.8,27.2,41.3,23.2
Utah,2019,29.2,34.5,55.7,24.9,33.1,38.4,18.5,36.6,21.3
Vermont,2019,26.6,32.9,61.9,28.5,43.8,39.7,20,32,12.7
Virginia,2019,31.9,34.5,50,22.7,31,35.8,25.3,38.3,17.9
Washington,2019,28.3,35.6,59.3,25.9,38.8,36.5,19.2,36.2,19
West Virginia,2019,39.7,32.3,48,17.1,31.7,26.1,31.2,46.3,19.8
Wisconsin,2019,34.2,35.5,55.2,24.7,35.5,36.2,23.2,38.9,22.8
Wyoming,2019,29.7,35.5,55,24.5,36.1,38,24.6,42.2,18.6
National,2019,31.4,35.2,51.5,23,32.1,35.3,26,39.2,21
Guam,2019,33.6,34.1,45.9,20.9,29.4,36,29.2,49,27
Puerto Rico,2019,32.5,37.3,30.5,7.3,15.4,11.6,50.6,53.3,44.4
Alabama,2020,39,33.7,NA,NA,NA,NA,28.8,NA,NA
Alaska,2020,31.9,35,NA,NA,NA,NA,21.3,NA,NA
Arizona,2020,30.9,35.2,NA,NA,NA,NA,22.4,NA,NA
Arkansas,2020,36.4,30.9,NA,NA,NA,NA,29.7,NA,NA
California,2020,30.3,33.8,NA,NA,NA,NA,21.2,NA,NA
Colorado,2020,24.2,35,NA,NA,NA,NA,16.6,NA,NA
Connecticut,2020,29.2,35.2,NA,NA,NA,NA,20.6,NA,NA
Delaware,2020,36.5,32.1,NA,NA,NA,NA,24.7,NA,NA
District of Columbia,2020,24.3,33,NA,NA,NA,NA,18.1,NA,NA
Florida,2020,28.4,35.7,NA,NA,NA,NA,26.8,NA,NA
Georgia,2020,34.3,33,NA,NA,NA,NA,24.8,NA,NA
Hawaii,2020,24.5,33.6,NA,NA,NA,NA,19.2,NA,NA
Idaho,2020,31.1,35.2,NA,NA,NA,NA,20.5,NA,NA
Illinois,2020,32.4,35.6,NA,NA,NA,NA,25.3,NA,NA
Indiana,2020,36.8,32.4,NA,NA,NA,NA,26.3,NA,NA
Iowa,2020,36.5,35.3,NA,NA,NA,NA,23.6,NA,NA
Kansas,2020,35.3,34.5,NA,NA,NA,NA,22,NA,NA
Kentucky,2020,36.6,33.5,NA,NA,NA,NA,30.6,NA,NA
Louisiana,2020,38.1,32.4,NA,NA,NA,NA,29,NA,NA
Maine,2020,31,34.6,NA,NA,NA,NA,21.5,NA,NA
Maryland,2020,31,35.5,NA,NA,NA,NA,21,NA,NA
Massachusetts,2020,24.4,36.1,NA,NA,NA,NA,19.9,NA,NA
Michigan,2020,35.2,34.6,NA,NA,NA,NA,20.8,NA,NA
Minnesota,2020,30.7,36.5,NA,NA,NA,NA,19.1,NA,NA
Mississippi,2020,39.7,33.1,NA,NA,NA,NA,30,NA,NA
Missouri,2020,34,35.4,NA,NA,NA,NA,25.7,NA,NA
Montana,2020,28.5,36,NA,NA,NA,NA,18.9,NA,NA
Nebraska,2020,34,35.8,NA,NA,NA,NA,21.5,NA,NA
Nevada,2020,28.7,35.6,NA,NA,NA,NA,25.4,NA,NA
New Hampshire,2020,29.9,35.8,NA,NA,NA,NA,19.3,NA,NA
New Jersey,2020,27.7,36.9,NA,NA,NA,NA,21,NA,NA
New Mexico,2020,30.9,36.9,NA,NA,NA,NA,23,NA,NA
New York,2020,26.3,37,NA,NA,NA,NA,25.6,NA,NA
North Carolina,2020,33.6,35.7,NA,NA,NA,NA,22.7,NA,NA
North Dakota,2020,33.1,37.6,NA,NA,NA,NA,24.6,NA,NA
Ohio,2020,35.5,33.5,NA,NA,NA,NA,24.5,NA,NA
Oklahoma,2020,36.4,32.9,NA,NA,NA,NA,28.6,NA,NA
Oregon,2020,28.1,36.2,NA,NA,NA,NA,18.5,NA,NA
Pennsylvania,2020,31.5,35.7,NA,NA,NA,NA,24.5,NA,NA
Rhode Island,2020,30.1,34.5,NA,NA,NA,NA,23.5,NA,NA
South Carolina,2020,36.2,33.3,NA,NA,NA,NA,26.6,NA,NA
South Dakota,2020,33.2,36.4,NA,NA,NA,NA,22.4,NA,NA
Tennessee,2020,35.6,34.4,NA,NA,NA,NA,24.5,NA,NA
Texas,2020,35.8,34.5,NA,NA,NA,NA,25.6,NA,NA
Utah,2020,28.6,33.8,NA,NA,NA,NA,15.9,NA,NA
Vermont,2020,26.3,35.7,NA,NA,NA,NA,18.2,NA,NA
Virginia,2020,32.2,35.1,NA,NA,NA,NA,20.9,NA,NA
Washington,2020,28,36,NA,NA,NA,NA,17.8,NA,NA
West Virginia,2020,39.1,32,NA,NA,NA,NA,29.7,NA,NA
Wisconsin,2020,32.3,36.1,NA,NA,NA,NA,20.5,NA,NA
Wyoming,2020,30.7,36.6,NA,NA,NA,NA,22.4,NA,NA
National,2020,31.9,34.8,NA,NA,NA,NA,23.5,NA,NA
Guam,2020,34.4,32.6,NA,NA,NA,NA,25.8,NA,NA
Puerto Rico,2020,31.4,36.1,NA,NA,NA,NA,45.8,NA,NA
Alabama,2021,39.9,31.9,NA,NA,NA,NA,31.5,45.9,20.6
Alaska,2021,33.5,34.1,NA,NA,NA,NA,20.3,42.4,18.7
Arizona,2021,31.3,36.6,NA,NA,NA,NA,22.7,41.6,21.7
Arkansas,2021,38.7,31.7,NA,NA,NA,NA,30.6,46.4,21.1
California,2021,27.6,36.4,NA,NA,NA,NA,20.1,36.2,22.5
Colorado,2021,25.1,35.5,NA,NA,NA,NA,16.7,38.3,18.8
Connecticut,2021,30.4,35.3,NA,NA,NA,NA,22.9,36,20.5
Delaware,2021,33.9,34.9,NA,NA,NA,NA,27.2,39.7,20.5
District of Columbia,2021,24.7,30.7,NA,NA,NA,NA,15.8,33.2,17
Georgia,2021,33.9,34.1,NA,NA,NA,NA,23.7,41.5,19.7
Hawaii,2021,25,35.3,NA,NA,NA,NA,20,42.6,21.9
Idaho,2021,31.6,35.9,NA,NA,NA,NA,20.5,41.8,16.2
Illinois,2021,34.2,34.5,NA,NA,NA,NA,27.2,39.2,16.6
Indiana,2021,36.3,33.3,NA,NA,NA,NA,25.9,43.4,21.3
Iowa,2021,36.4,34.3,NA,NA,NA,NA,24.7,41.5,23
Kansas,2021,36,34.4,NA,NA,NA,NA,23.6,43.7,19.7
Kentucky,2021,40.3,31.9,NA,NA,NA,NA,30.5,45,19.8
Louisiana,2021,38.6,32.4,NA,NA,NA,NA,29.4,48.6,25.7
Maine,2021,31.9,34,NA,NA,NA,NA,26.5,35,13.1
Maryland,2021,34.3,33.9,NA,NA,NA,NA,21.7,37.1,19.2
Massachusetts,2021,27.4,33.9,NA,NA,NA,NA,21.1,36.7,17.2
Michigan,2021,34.4,34.2,NA,NA,NA,NA,23.1,39.9,19.4
Minnesota,2021,32.4,34.8,NA,NA,NA,NA,20.2,36.4,20.6
Mississippi,2021,39.1,33.6,NA,NA,NA,NA,30.9,46.9,23.2
Missouri,2021,37.3,32,NA,NA,NA,NA,25.3,43.4,19.5
Montana,2021,31.8,35,NA,NA,NA,NA,21.2,40,16.9
Nebraska,2021,35.9,35,NA,NA,NA,NA,24.2,42.7,20.8
Nevada,2021,31.3,36.1,NA,NA,NA,NA,24.2,42.1,24.2
New Hampshire,2021,30.6,35.4,NA,NA,NA,NA,20,36.1,15.6
New Jersey,2021,28.2,37.4,NA,NA,NA,NA,24.1,35.7,21.9
New Mexico,2021,34.6,35.4,NA,NA,NA,NA,23,41.2,22.3
New York,2021,29.1,34.5,NA,NA,NA,NA,25.8,36.5,21.5
North Carolina,2021,36,32.6,NA,NA,NA,NA,22.3,40.4,18.1
North Dakota,2021,35.2,34.8,NA,NA,NA,NA,25.5,44,22.8
Ohio,2021,37.8,33.3,NA,NA,NA,NA,25.9,43,19.7
Oklahoma,2021,39.4,32.5,NA,NA,NA,NA,28.3,48.7,20.7
Oregon,2021,30.4,34.7,NA,NA,NA,NA,19.9,37.7,16.4
Pennsylvania,2021,33.3,33,NA,NA,NA,NA,24.3,39.4,19.4
Rhode Island,2021,30.1,36.2,NA,NA,NA,NA,24.2,35.5,19.7
South Carolina,2021,36.1,34.5,NA,NA,NA,NA,25,42.5,20.7
South Dakota,2021,38.4,33.7,NA,NA,NA,NA,23.2,43.4,19.2
Tennessee,2021,35,36.6,NA,NA,NA,NA,28.7,46.1,19.8
Texas,2021,36.1,33.7,NA,NA,NA,NA,25.1,40.9,24.5
Utah,2021,30.9,33.3,NA,NA,NA,NA,17.3,37.7,20
Vermont,2021,29,32.1,NA,NA,NA,NA,17.8,34.4,14.1
Virginia,2021,34.2,33.9,NA,NA,NA,NA,20.9,39.6,18.1
Washington,2021,28.8,35.4,NA,NA,NA,NA,17.8,36.1,19.1
West Virginia,2021,40.6,33,NA,NA,NA,NA,30.5,46,18.9
Wisconsin,2021,33.9,34.6,NA,NA,NA,NA,20.3,38.8,20.1
Wyoming,2021,32,37,NA,NA,NA,NA,22.9,43.3,19.2
National,2021,33,34.4,NA,NA,NA,NA,23.7,39.9,20.6
Guam,2021,33.5,31.4,NA,NA,NA,NA,29.9,42.7,29.4
Puerto Rico,2021,36,36.4,NA,NA,NA,NA,46.1,51.1,46.6
Virgin Islands,2021,35.6,31.1,NA,NA,NA,NA,21.9,39.7,32.2
Alabama,2022,38.3,33.7,NA,NA,NA,NA,29.1,NA,NA
Alaska,2022,32.1,36.4,NA,NA,NA,NA,21.5,NA,NA
Arizona,2022,33.2,33.5,NA,NA,NA,NA,23.4,NA,NA
Arkansas,2022,37.4,33.6,NA,NA,NA,NA,31.1,NA,NA
California,2022,28.1,34.7,NA,NA,NA,NA,21.9,NA,NA
Colorado,2022,25,35.6,NA,NA,NA,NA,16.8,NA,NA
Connecticut,2022,30.6,35.6,NA,NA,NA,NA,23.1,NA,NA
Delaware,2022,37.9,33.9,NA,NA,NA,NA,23.5,NA,NA
District of Columbia,2022,24.3,30.9,NA,NA,NA,NA,15.1,NA,NA
Florida,2022,31.6,34.5,NA,NA,NA,NA,24.5,NA,NA
Georgia,2022,37,31.9,NA,NA,NA,NA,23.8,NA,NA
Hawaii,2022,25.9,33.8,NA,NA,NA,NA,21.3,NA,NA
Idaho,2022,33.2,35.4,NA,NA,NA,NA,21.5,NA,NA
Illinois,2022,33.4,33.9,NA,NA,NA,NA,22.8,NA,NA
Indiana,2022,37.7,33.3,NA,NA,NA,NA,27.5,NA,NA
Iowa,2022,37.4,33.8,NA,NA,NA,NA,25.9,NA,NA
Kansas,2022,35.7,33.4,NA,NA,NA,NA,23.3,NA,NA
Kentucky,2022,37.7,34.1,NA,NA,NA,NA,26.4,NA,NA
Louisiana,2022,40.1,31.7,NA,NA,NA,NA,28.3,NA,NA
Maine,2022,33.1,33,NA,NA,NA,NA,22.6,NA,NA
Maryland,2022,33.2,34.4,NA,NA,NA,NA,21.2,NA,NA
Massachusetts,2022,27.2,34.7,NA,NA,NA,NA,21.3,NA,NA
Michigan,2022,34.5,32.8,NA,NA,NA,NA,23.9,NA,NA
Minnesota,2022,33.6,34.9,NA,NA,NA,NA,20.5,NA,NA
Mississippi,2022,39.5,32.7,NA,NA,NA,NA,31.9,NA,NA
Missouri,2022,36.4,33.9,NA,NA,NA,NA,25.3,NA,NA
Montana,2022,30.5,35.4,NA,NA,NA,NA,19.6,NA,NA
Nebraska,2022,35.3,35.1,NA,NA,NA,NA,24.7,NA,NA
Nevada,2022,33.5,33.8,NA,NA,NA,NA,26.1,NA,NA
New Hampshire,2022,30.2,36.7,NA,NA,NA,NA,20,NA,NA
New Jersey,2022,29.1,36.7,NA,NA,NA,NA,23.3,NA,NA
New Mexico,2022,32.4,36.9,NA,NA,NA,NA,24.2,NA,NA
New York,2022,30.1,33.9,NA,NA,NA,NA,25.6,NA,NA
North Carolina,2022,34.1,35.2,NA,NA,NA,NA,23.1,NA,NA
North Dakota,2022,35.4,35.6,NA,NA,NA,NA,24,NA,NA
Ohio,2022,38.1,32.8,NA,NA,NA,NA,25.1,NA,NA
Oklahoma,2022,40,32.3,NA,NA,NA,NA,29.5,NA,NA
Oregon,2022,30.9,36,NA,NA,NA,NA,19,NA,NA
Pennsylvania,2022,33.4,34.3,NA,NA,NA,NA,22.5,NA,NA
Rhode Island,2022,30.8,36.5,NA,NA,NA,NA,24.2,NA,NA
South Carolina,2022,35,34.8,NA,NA,NA,NA,26,NA,NA
South Dakota,2022,36.8,35.4,NA,NA,NA,NA,23.4,NA,NA
Tennessee,2022,38.9,32,NA,NA,NA,NA,27.7,NA,NA
Texas,2022,35.5,34.7,NA,NA,NA,NA,25.5,NA,NA
Utah,2022,31.1,34.2,NA,NA,NA,NA,16.9,NA,NA
Vermont,2022,26.8,34.1,NA,NA,NA,NA,19.8,NA,NA
Virginia,2022,35.2,32.1,NA,NA,NA,NA,20.9,NA,NA
Washington,2022,31.7,34.6,NA,NA,NA,NA,17.5,NA,NA
West Virginia,2022,41,33.4,NA,NA,NA,NA,30.2,NA,NA
Wisconsin,2022,37.7,33,NA,NA,NA,NA,21.9,NA,NA
Wyoming,2022,34.3,35.6,NA,NA,NA,NA,22.6,NA,NA
National,2022,33.3,34.1,NA,NA,NA,NA,23.7,NA,NA
Guam,2022,32.7,34.5,NA,NA,NA,NA,28,NA,NA
Puerto Rico,2022,34.1,36.6,NA,NA,NA,NA,43.6,NA,NA
Virgin Islands,2022,32.1,37,NA,NA,NA,NA,24.6,NA,NA
Alabama,2023,39.2,32.7,56.3,25,39.3,34.4,29.1,NA,NA
Alaska,2023,35.2,33.3,65,33.9,46.8,44.1,20.9,NA,NA
Arizona,2023,31.9,34.5,63.1,33.3,44.8,44.9,21.3,NA,NA
Arkansas,2023,40,31.8,52.8,26.8,37.9,39.5,32.5,NA,NA
California,2023,27.7,36.4,62.2,30.1,43.9,39.7,22.9,NA,NA
Colorado,2023,24.9,35,67,35.4,47.6,44.8,17.5,NA,NA
Connecticut,2023,29.4,36.5,57.3,31.4,38.6,43.2,25.5,NA,NA
Delaware,2023,35.7,35.6,59.9,28.3,43.5,38.6,26,NA,NA
District of Columbia,2023,23.5,33.5,67.8,38.3,43.3,49.1,15.2,NA,NA
Florida,2023,30.1,35.6,60,31.5,41.6,43.6,25.4,NA,NA
Georgia,2023,35,33.7,58.8,29.6,40.8,41.6,24.7,NA,NA
Hawaii,2023,26.1,34.4,63.8,31.8,45.7,43.2,21.7,NA,NA
Idaho,2023,31,35.7,64.7,29.4,47.3,39.1,21.1,NA,NA
Illinois,2023,36,35,61.2,29.1,40,39.8,21.4,NA,NA
Indiana,2023,37.8,33.3,61.9,29.3,44.6,40.3,24.4,NA,NA
Iowa,2023,37.8,34.3,58.6,25.9,40.9,36.4,24.1,NA,NA
Kansas,2023,35.9,33.3,58.5,26.8,39.7,38.5,24.9,NA,NA
Louisiana,2023,39.9,32.1,54.5,26.9,39.8,40.8,30.1,NA,NA
Maine,2023,32.6,35.3,66.1,31,50.6,38.9,22.6,NA,NA
Maryland,2023,34.1,34.7,59.8,30.8,39.2,42.4,22.7,NA,NA
Massachusetts,2023,27.4,35.2,63.5,31.1,44.8,41.3,22,NA,NA
Michigan,2023,35.4,33.4,59.1,30.2,42.7,42,25.3,NA,NA
Minnesota,2023,33.3,34.2,62.3,30.2,44.1,41.1,22.8,NA,NA
Mississippi,2023,40.1,31.6,51.2,23.4,35.4,35.2,33.4,NA,NA
Missouri,2023,35.3,34.3,53.9,23.7,36.9,35.3,28.1,NA,NA
Montana,2023,30.5,35.2,66.3,32.2,49.6,43.2,19.6,NA,NA
Nebraska,2023,36.6,34.8,60,28.2,40.5,39.2,23.8,NA,NA
Nevada,2023,30.8,35.6,58.3,31,40.5,42.9,25.7,NA,NA
New Hampshire,2023,32.8,35.6,63.3,33.1,45.4,43.4,21.2,NA,NA
New Jersey,2023,28.9,35.9,59.3,31.3,41.1,43.3,24.2,NA,NA
New Mexico,2023,35.3,33.9,61.6,30.4,43.8,41.3,24,NA,NA
New York,2023,28,36.1,58.4,30.8,40.6,41.8,26.1,NA,NA
North Carolina,2023,34,35,59.9,26,39.4,34.1,21.9,NA,NA
North Dakota,2023,35.6,35.8,63.5,30.9,44.6,41.2,21.5,NA,NA
Ohio,2023,36.4,33.2,58,30.6,40.3,42.3,26.4,NA,NA
Oklahoma,2023,38.7,31.9,51.1,23.4,34.7,34.1,31,NA,NA
Oregon,2023,33.6,33.4,67,32.4,48.7,41,19.4,NA,NA
Rhode Island,2023,31.6,34.8,57.3,29.9,39.9,40.7,26.4,NA,NA
South Carolina,2023,36,33.9,59.1,31.6,42.3,44.3,26.3,NA,NA
South Dakota,2023,36,34.3,59.3,26.5,42.7,38.4,25.7,NA,NA
Tennessee,2023,37.6,33.1,57.6,27.4,41.9,40.7,26,NA,NA
Texas,2023,34.4,35,56.5,30.9,39.1,42.9,27.8,NA,NA
Utah,2023,30.2,34.3,65.1,33.1,43.8,44.5,16.2,NA,NA
Vermont,2023,28.8,34.8,66.5,33.7,48.5,41.9,20.3,NA,NA
Virginia,2023,34.3,34.3,63.5,31.8,45.5,42.3,22.3,NA,NA
Washington,2023,30.6,35.2,66.5,31.8,46.4,40.9,18.1,NA,NA
West Virginia,2023,41.2,32,53.1,20.6,38.4,30.7,32,NA,NA
Wisconsin,2023,35.9,34.1,58,27.5,39.8,39.2,26.8,NA,NA
Wyoming,2023,33.3,35.7,60.9,30.1,45.7,42,26.2,NA,NA
National,2023,32.8,34.7,59.9,30,41.8,41,24.5,NA,NA
