LocationDesc,YearStart,obesity,overweight,activity_150,activity_150_strength,activity_300,muscle_strengthening,no_leisure_activity,fruit_lt_1_per_day,vegetables_lt_1_per_day
Montana,2012,24.3,37,NA,NA,NA,NA,20.5,NA,NA
Nebraska,2012,28.6,36.4,NA,NA,NA,NA,21,NA,NA
Nevada,2012,26.2,36.3,NA,NA,NA,NA,21.3,NA,NA
New Hampshire,2012,27.3,34.9,NA,NA,NA,NA,20,NA,NA
New Jersey,2012,24.6,36.9,NA,NA,NA,NA,24.9,NA,NA
New Mexico,2012,27.1,35.7,NA,NA,NA,NA,21.8,NA,NA
New York,2012,23.6,37,NA,NA,NA,NA,24.7,NA,NA
North Carolina,2012,29.6,36.2,NA,NA,NA,NA,24.9,NA,NA
North Dakota,2012,29.7,36.6,NA,NA,NA,NA,23.8,NA,NA
Ohio,2012,30.1,35.2,NA,NA,NA,NA,25.3,NA,NA
Oklahoma,2012,32.2,35.6,NA,NA,NA,NA,28.3,NA,NA
Oregon,2012,27.3,33.8,NA,NA,NA,NA,16.3,NA,NA
Pennsylvania,2012,29.1,35.9,NA,NA,NA,NA,23.5,NA,NA
Rhode Island,2012,25.7,37.2,NA,NA,NA,NA,23.6,NA,NA
South Carolina,2012,31.6,34.5,NA,NA,NA,NA,25.1,NA,NA
South Dakota,2012,28.1,37.9,NA,NA,NA,NA,22.5,NA,NA
Tennessee,2012,31.1,34.2,NA,NA,NA,NA,28.6,NA,NA
Texas,2012,29.2,35.9,NA,NA,NA,NA,27.2,NA,NA
Utah,2012,24.3,33.5,NA,NA,NA,NA,16.5,NA,NA
Vermont,2012,23.7,36.6,NA,NA,NA,NA,17.2,NA,NA
Virginia,2012,27.4,36.2,NA,NA,NA,NA,22.5,NA,NA
Washington,2012,26.8,35.4,NA,NA,NA,NA,19,NA,NA
West Virginia,2012,33.8,34.5,NA,NA,NA,NA,31,NA,NA
Wisconsin,2012,29.7,36.8,NA,NA,NA,NA,20.4,NA,NA
Wyoming,2012,24.6,38.7,NA,NA,NA,NA,21.1,NA,NA
National,2012,27.7,35.7,NA,NA,NA,NA,23.3,NA,NA
Alabama,2013,32.4,35.7,45.4,15.9,27.3,24.9,31.5,NA,NA
Alaska,2013,28.4,37.7,55.3,25.1,36.4,36,22.3,NA,NA
Arizona,2013,26.8,35.1,51.9,22,34,31,25.2,NA,NA
Arkansas,2013,34.6,35.3,41.2,13.8,25.6,22.3,34.4,NA,NA
California,2013,24.1,36,56.3,24.1,36,33.2,21.4,NA,NA
Colorado,2013,21.3,35.1,60.4,26.7,38.5,35.9,17.9,NA,NA
Connecticut,2013,25,37.6,50.9,20.8,31.1,30,24.9,NA,NA
Delaware,2013,31.1,33.5,49.7,21.2,31.1,31.8,27.8,NA,NA
District of Columbia,2013,22.9,30.9,57.7,25.6,35.3,35.1,19.5,NA,NA
Florida,2013,26.4,36.4,50.2,19.9,31.4,29.6,27.7,NA,NA
Georgia,2013,30.3,35.4,50.8,21.5,31.2,30.7,27.2,NA,NA
Hawaii,2013,21.8,33.6,60.2,26.5,39.5,35,22.1,NA,NA
Idaho,2013,29.6,35.4,53.9,20.4,33.6,30.1,23.7,NA,NA
Illinois,2013,29.4,35.3,52.4,21.3,32.7,30.2,25.1,NA,NA
Indiana,2013,31.8,35.4,44,16.2,26.2,25.6,31,NA,NA
Iowa,2013,31.3,35.7,46.9,17.9,27.2,27.2,28.5,NA,NA
Kansas,2013,30,35.3,49.1,17.9,29.7,26.8,26.5,NA,NA
Kentucky,2013,33.2,34.1,46,16.6,28.5,25.8,30.2,NA,NA
Louisiana,2013,33.1,34.3,45.1,17.2,27.6,25.9,32.2,NA,NA
Maine,2013,28.9,36,53.6,20.5,35.5,29.6,23.3,NA,NA
Maryland,2013,28.3,35.9,48.6,21.6,28.3,32,25.3,NA,NA
Massachusetts,2013,23.6,34.4,54.5,23.5,35,32.6,23.5,NA,NA
Michigan,2013,31.5,34.7,53.1,19.5,33.9,28.8,24.4,NA,NA
Minnesota,2013,25.5,35.6,52.7,21.2,30.6,31.2,23.5,NA,NA
Mississippi,2013,35.1,34.2,37.4,14.9,22.1,24.3,38.1,NA,NA
Missouri,2013,30.4,35.1,48.6,17.4,30.6,26.4,28.3,NA,NA
Montana,2013,24.6,36.8,57.8,23.3,38.8,31.8,22.5,NA,NA
Nebraska,2013,29.6,35.9,50.1,18.8,30.8,28.4,25.3,NA,NA
Nevada,2013,26.2,38.6,53.6,23.9,33.5,32.8,23.7,NA,NA
New Hampshire,2013,26.7,35,55.4,22.7,34.8,32.6,22.4,NA,NA
New Jersey,2013,26.3,36.5,50.5,21.6,32.2,32,26.8,NA,NA
New Mexico,2013,26.4,36.3,55,23.1,34.8,32,24.3,NA,NA
New York,2013,25.4,35.9,47.3,19.4,29.1,30.1,26.7,NA,NA
North Carolina,2013,29.4,36.7,48.6,19.1,29.1,27.9,26.6,NA,NA
North Dakota,2013,31,36.6,45.3,16.4,25.9,27,27.6,NA,NA
Ohio,2013,30.4,34.7,49.5,19,31.6,28.3,28.5,NA,NA
Oklahoma,2013,32.5,35.4,43.9,15.8,27.4,24.3,33,NA,NA
Oregon,2013,26.5,33.4,64.1,24.8,42.8,31.6,18.5,NA,NA
Pennsylvania,2013,30,34.5,47.8,18.5,29.3,29.1,26.3,NA,NA
Rhode Island,2013,27.3,37.3,49.1,19.6,30.2,29.5,26.9,NA,NA
South Carolina,2013,31.7,34.7,49.1,18.6,30.4,27,26.9,NA,NA
South Dakota,2013,29.9,37.1,53.7,18.4,35.4,27.7,23.8,NA,NA
Tennessee,2013,33.7,34.7,37.7,12.2,20.6,19.6,37.2,NA,NA
Texas,2013,30.9,35.3,42.1,17.6,24.8,28.4,30.1,NA,NA
Utah,2013,24.1,35,55.3,22.4,33.5,32.3,20.6,NA,NA
Vermont,2013,24.7,37.2,58.8,23,39.1,30.3,20.5,NA,NA
Virginia,2013,27.2,36.8,51.9,22.6,32.1,32.4,25.5,NA,NA
Washington,2013,27.2,34.3,56.3,21.9,35.9,31.5,20,NA,NA
West Virginia,2013,35.1,33.7,47.6,12.7,31.3,18.6,31.4,NA,NA
Wisconsin,2013,29.8,36.7,53.4,20.9,31.9,29.8,23.8,NA,NA
Wyoming,2013,27.8,36.6,54.2,20.5,35.7,28.6,25.1,NA,NA
National,2013,28.3,35.5,50.2,20.2,31.2,29.6,26.3,NA,NA
