fYearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity,low_fruit_consumption,low_vegetable_consumption
2019,PA,Pennsylvania,33.2,51.1,33.7,25.6,38,19.8
2019,RI,Rhode Island,30,50.5,36.1,26.5,36.1,20.6
2019,SC,South Carolina,35.4,47.9,38.2,28.8,43.2,18.7
2019,SD,South Dakota,33,46.6,34.6,30,39.2,17.4
2019,TN,Tennessee,36.5,47.5,35.5,30.1,43,19
2019,TX,Texas,34,49.3,37.8,27.2,41.3,23.2
2019,UT,Utah,29.2,55.7,38.4,18.5,36.6,21.3
2019,VT,Vermont,26.6,61.9,39.7,20,32,12.7
2019,VA,Virginia,31.9,50,35.8,25.3,38.3,17.9
2019,WA,Washington,28.3,59.3,36.5,19.2,36.2,19
2019,WV,West Virginia,39.7,48,26.1,31.2,46.3,19.8
2019,WI,Wisconsin,34.2,55.2,36.2,23.2,38.9,22.8
2019,WY,Wyoming,29.7,55,38,24.6,42.2,18.6
2019,US,National,31.4,51.5,35.3,26,39.2,21
2019,GU,Guam,33.6,45.9,36,29.2,49,27
2019,PR,Puerto Rico,32.5,30.5,11.6,50.6,53.3,44.4
