YearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity
2015,IN,Indiana,31.3,44.1,27,29.4
2015,IA,Iowa,32.1,48.8,29.8,26.3
2015,KS,Kansas,34.2,50,29,26.5
2015,KY,Kentucky,34.6,45.2,28.4,32.5
2015,LA,Louisiana,36.2,46.2,27.2,31.9
2015,ME,Maine,30,53.9,27.9,24.8
2015,MD,Maryland,28.9,52.9,32.7,24.1
2015,MA,Massachusetts,24.3,51.8,31.5,26.5
2015,MI,Michigan,31.2,52.1,29.3,25.5
2015,MN,Minnesota,26.1,54.9,31.9,21.8
2015,MS,Mississippi,35.6,38,26.5,36.8
2015,MO,Missouri,32.4,50.5,28.8,27
2015,MT,Montana,23.6,58.2,32.9,22.5
2015,NE,Nebraska,31.4,51.3,31.2,25.3
2015,NV,Nevada,26.7,54.5,34.3,24.7
2015,NH,New Hampshire,26.3,57.6,31.6,22.6
2015,NJ,New Jersey,25.6,48.9,31.5,27.2
2015,NM,New Mexico,28.8,56,33.7,22.6
2015,NY,New York,25,47.1,30.2,29.3
2015,NC,North Carolina,30.1,48.1,29.3,26.2
2015,ND,North Dakota,31,47,27.6,26.8
2015,OH,Ohio,29.8,50.2,29.5,27
2015,OK,Oklahoma,33.9,46.6,26.2,33.2
2015,OR,Oregon,30.1,60.4,30.4,18.8
2015,PA,Pennsylvania,30,49.8,29.6,27.8
2015,RI,Rhode Island,26,50.4,28.7,28.1
2015,SC,South Carolina,31.7,50.5,29.4,26.7
2015,SD,South Dakota,30.4,53.6,28.8,21.5
2015,TN,Tennessee,33.8,45.4,27.6,30.4
2015,TX,Texas,32.4,44.3,29.3,29.5
2015,UT,Utah,24.5,55.3,34.8,20.3
2015,VT,Vermont,25.1,58.9,30.5,22.2
2015,VA,Virginia,29.2,51,32.3,25.1
2015,WA,Washington,26.4,58.4,31.8,19
2015,WV,West Virginia,35.6,48,20.9,30.8
2015,WI,Wisconsin,30.7,56.8,28.6,21.6
2015,WY,Wyoming,29,54.4,32.1,26.2
2015,US,National,28.9,50.9,30.4,25.9
2015,GU,Guam,31.6,48.9,32,31.1
2015,PR,Puerto Rico,29.5,34.1,10.9,48.1
2017,AL,Alabama,36.3,42.8,26,32
2017,AK,Alaska,34.2,58.3,34.7,20.6
2017,AZ,Arizona,29.5,52.7,31.5,25.1
2017,AR,Arkansas,35,45.4,25.6,32.5
2017,CA,California,25.1,57.5,34.3,20
2017,CO,Colorado,22.6,58.7,35.5,19.5
2017,CT,Connecticut,26.9,51.9,33.6,24
2017,DE,Delaware,31.8,46.3,28.6,31
2017,DC,District of Columbia,23,48.8,30.3,23
2017,FL,Florida,28.4,49.5,30,29.2
2017,GA,Georgia,31.6,46.1,31.4,31
2017,HI,Hawaii,23.8,56.5,35.4,23.5
2017,ID,Idaho,29.3,54.8,32.5,24.2
2017,IL,Illinois,31.1,52.5,30.7,24
2017,IN,Indiana,33.6,46.4,27.2,29.8
2017,IA,Iowa,36.4,50.2,28.9,25
2017,KS,Kansas,32.4,49.3,28.5,27.9
2017,KY,Kentucky,34.3,44.7,26.4,34.4
2017,LA,Louisiana,36.2,45,28,31.8
2017,ME,Maine,29.1,52.8,29.5,25.2
2017,MD,Maryland,31.3,50.6,31.9,25.6
2017,MA,Massachusetts,25.9,50.9,31.2,24.8
2017,MI,Michigan,32.3,49.5,29.9,27.2
2017,MN,Minnesota,28.4,51.1,31.4,24.6
2017,MS,Mississippi,37.3,44.7,25.9,33.2
2017,MO,Missouri,32.5,47.4,28.5,29.2
2017,MT,Montana,25.3,54.6,30.2,25
2017,NE,Nebraska,32.8,49.4,29.8,25.4
2017,NV,Nevada,26.7,47,31.3,28
2017,NH,New Hampshire,28.1,54.4,30.4,23.9
2017,NJ,New Jersey,27.3,48.9,32.8,29
2017,NM,New Mexico,28.4,54,32.8,24.5
2017,NY,New York,25.7,49.3,29.9,27.2
2017,NC,North Carolina,32.1,49.2,29.4,25.6
2017,ND,North Dakota,33.2,45.7,30.2,27.6
2017,OH,Ohio,33.8,47.8,29.2,29.6
2017,OK,Oklahoma,36.5,42.5,25.5,32.4
2017,OR,Oregon,29.4,56.9,31.1,21.4
2017,PA,Pennsylvania,31.6,53,30.4,24.9
2017,RI,Rhode Island,30,50.6,28.8,26.3
2017,SC,South Carolina,34.1,48.6,27.4,28.4
2017,SD,South Dakota,31.9,50.8,28.3,24.9
2017,TN,Tennessee,32.8,47,26.6,30.6
2017,TX,Texas,33,41.9,29.2,32.1
2017,UT,Utah,25.3,54,33.3,21.1
2017,VT,Vermont,27.6,59.7,31.4,21.6
2017,VA,Virginia,30.1,50.9,32.5,25.9
2017,WA,Washington,27.7,57.9,32.6,19.2
2017,WV,West Virginia,38.1,48.1,22.6,31.6
2017,WI,Wisconsin,32,57.1,30.6,22.4
2017,WY,Wyoming,28.8,53.9,32.9,25.7
2017,US,National,30.1,50.3,30.5,26.6
2017,GU,Guam,34.3,44.6,32.5,33.4
2017,PR,Puerto Rico,32.9,19.6,9.8,54
2019,AL,Alabama,36.1,45.9,29.2,31.5
2019,AK,Alaska,30.5,57.3,37.6,21.7
2019,AZ,Arizona,31.4,54.7,37.7,24.1
2019,AR,Arkansas,37.4,46.8,32.2,31.2
2019,CA,California,26.2,55,33.7,22.4
2019,CO,Colorado,23.8,59.3,39.3,18.7
2019,CT,Connecticut,29.1,54.4,39.4,23.5
2019,DE,Delaware,34.4,51.6,37,26.6
2019,DC,District of Columbia,23.8,56.1,40.6,19
2019,FL,Florida,27,55.1,38.1,26.5
2019,GA,Georgia,33.1,49.1,38.2,27.9
2019,HI,Hawaii,25,56,37.9,24.4
2019,ID,Idaho,29.5,57.4,31.2,23.8
2019,IL,Illinois,31.6,50.5,37.1,25.6
2019,IN,Indiana,35.3,46.9,35.3,30.9
2019,IA,Iowa,33.9,49.1,32.9,26.5
2019,KS,Kansas,35.2,49.1,33.4,27.1
2019,KY,Kentucky,36.5,36.3,27,32.8
2019,LA,Louisiana,35.9,45.9,34.2,31.9
2019,ME,Maine,31.7,52.1,30.6,30.1
2019,MD,Maryland,32.3,52.2,36.6,23.4
2019,MA,Massachusetts,25.2,53.5,33.2,26.4
2019,MI,Michigan,36,51.7,35.3,25.4
2019,MN,Minnesota,30.1,58.5,36.5,19.9
2019,MS,Mississippi,40.8,39.5,29,37.7
2019,MO,Missouri,34.8,45.1,27.8,30.6
2019,MT,Montana,28.3,63.1,39.7,19.7
2019,NE,Nebraska,34.1,48.7,34.8,26.9
2019,NV,Nevada,30.6,50.7,34.3,25.8
2019,NH,New Hampshire,31.8,57.6,37.2,21.7
2019,NM,New Mexico,31.7,54.1,38.4,25.4
2019,NY,New York,27.1,50.9,37.9,27.2
2019,NC,North Carolina,34,50.5,31.9,26.3
2019,ND,North Dakota,34.8,47.7,32,28
2019,OH,Ohio,34.8,48.9,34.7,28.3
2019,OK,Oklahoma,36.8,38.3,28.7,34
2019,OR,Oregon,29,57.3,34.8,23.9
2019,PA,Pennsylvania,33.2,51.1,33.7,25.6
2019,RI,Rhode Island,30,50.5,36.1,26.5
2019,SC,South Carolina,35.4,47.9,38.2,28.8
2019,SD,South Dakota,33,46.6,34.6,30
2019,TN,Tennessee,36.5,47.5,35.5,30.1
2019,TX,Texas,34,49.3,37.8,27.2
2019,UT,Utah,29.2,55.7,38.4,18.5
2019,VT,Vermont,26.6,61.9,39.7,20
2019,VA,Virginia,31.9,50,35.8,25.3
2019,WA,Washington,28.3,59.3,36.5,19.2
2019,WV,West Virginia,39.7,48,26.1,31.2
2019,WI,Wisconsin,34.2,55.2,36.2,23.2
2019,WY,Wyoming,29.7,55,38,24.6
2019,US,National,31.4,51.5,35.3,26
2019,GU,Guam,33.6,45.9,36,29.2
2019,PR,Puerto Rico,32.5,30.5,11.6,50.6
2023,AL,Alabama,39.2,56.3,34.4,29.1
2023,AK,Alaska,35.2,65,44.1,20.9
2023,AZ,Arizona,31.9,63.1,44.9,21.3
2023,AR,Arkansas,40,52.8,39.5,32.5
